Qual é o nome completo do criador de conteúdo conhecido como Alanzoka?,Alan Ferreira Pereira.
Em qual curso de ensino superior Alanzoka é graduado?,Gastronomia.
Em qual universidade Alanzoka obteve seu diploma de Gastronomia?,Universidade Anhembi Morumbi.
"Qual era o nome original do canal de Alanzoka no YouTube, criado em 2011?",EDGE.
"O que significa a sigla ""EDGE"", nome inicial do projeto de Alan Ferreira?",Electronic Desire Gamers Entertainment.
Qual foi o primeiro jogo gravado por Alanzoka em seu canal no ano de 2011?,Minecraft.
Qual jogo de terror foi o principal responsável pelo primeiro grande impulso de audiência do canal em 2012?,Slender (Slender: The Eight Pages).
Sob qual apelido Alanzoka atuou em sua carreira profissional de e-sports?,Nextage.
Em qual modalidade competitiva Alanzoka representou a seleção brasileira em 2016?,Overwatch.
Qual foi o motivo principal para Alanzoka encerrar sua carreira profissional como pro player de Overwatch?,Focar inteiramente em sua carreira de streamer.
"Em que ano o canal foi oficialmente renomeado de ""Electronic Desire GE"" para ""alanzoka""?",2018.
Qual é a posição de Alanzoka no ranking de seguidores da Twitch no Brasil (dados de 2025/2026)?,1º lugar (o streamer mais seguido do país).
"Segundo o estudo de Dandolini (2020), qual é o foco principal da análise sobre o streamer Alanzoka?",Entender como ele fideliza seu público na Twitch.
Como era conhecido o grupo original de amigos que gravava vídeos com Alan no início do canal?,Bonde da van Azul.
Quem é a parceira e também criadora de conteúdo de Alanzoka desde 2012?,Maethe (Maethe Pauferro).
Qual meme viral de 2018 ajudou a expandir a imagem de Alanzoka para além da bolha gamer?,"O meme do ""tijolinho""."
"Qual categoria da Twitch Alanzoka utiliza frequentemente como ""ponte"" de interação e conversa com a comunidade?",Just Chatting (Só na Conversa).
"Qual prêmio Alanzoka venceu na categoria ""Streamer BR"" no MTV Millennial Awards 2020?",MTV MIAW.
Alanzoka foi eleito o melhor do Brasil em qual categoria pelo Prêmio iBest entre 2022 e 2024?,Gamer Influenciador.
Qual veículo de comunicação incluiu Alanzoka na lista de streamers para assistir durante o isolamento da COVID-19?,Globo Esporte (ge).
Qual gênero de jogos é considerado o pilar fundamental que catapultou a fama inicial de Alanzoka?,Terror (Survival Horror).
Qual é o nome do canal secundário onde Alanzoka armazena a íntegra de suas transmissões ao vivo?,Lives do alanzoka.
Por que Alanzoka prefere realizar transmissões ao vivo (lives) em vez de gravar vídeos solitários?,Pela interação em tempo real com o chat e o feedback imediato do público.
Qual é o modelo de microfone profissional utilizado no setup atual (2025) de Alanzoka?,Shure SM7B.
Qual modelo de mouse sem fio Alanzoka utiliza em suas gameplays?,Logitech G Pro Wireless.
Qual é o modelo de cadeira ergonômica de alto custo (aprox. R$ 15 mil) que compõe o setup do streamer?,Herman Miller x Logitech Embody.
Qual processador (CPU) de alto desempenho foi escolhido por Alanzoka em sua atualização de setup em 2025?,AMD Ryzen 7 9800X3D.
Qual é a placa de vídeo (GPU) highend que Alanzoka utiliza para tancar jogos e lives simultaneamente?,NVIDIA GeForce RTX 4090.
Qual é a frequência de atualização (Hz) dos monitores Alienware utilizados por Alanzoka?,240 Hz.
"O que o termo ""Electronic Desire"" significa em tradução livre para o português?",Desejo Eletrônico.
"No início do YouTube, qual termo de busca curioso levava os usuários diretamente ao canal de Alan?","""Canal lixo""."
"Qual era o primeiro jogo de terror propriamente dito jogado por Alan, durando 13 episódios?",Nightmare House 2.
Em que data (dia e mês) é comemorado o aniversário de Alan Ferreira?,13 de maio.
Qual a principal faixa etária do público que consome o ecossistema Alanzoka?,20 a 24 anos.
Como a formação em Gastronomia é citada como influência no estilo de conteúdo de Alan?,"Contribuiu para a compreensão da ""arte da experiência"" e do engajamento sensorial da audiência."
Qual é a principal fonte de assinaturas (subs) que compõe a receita de Alanzoka na Twitch?,Amazon Prime (Prime Gaming).
"Qual foi o recorde de pico de espectadores simultâneos de Alanzoka na Twitch, atingido em setembro de 2020?",Aproximadamente 148.560 viewers.
"Qual é a classificação da taxa de engajamento de 6,18% do canal de Alanzoka no YouTube?",Nível muito bom.
"Qual empresa de hardware gamer Alanzoka possui uma parceria de longa data, mencionada no podcast DeByte?",Kabum.
Como o streamer descreve o sentimento de tirar férias prolongadas das transmissões?,Ele sente falta de jogar com o público e do chat após cerca de 15 a 20 dias.
Qual é o principal desafio citado para streamers que focam em apenas um jogo (como Fortnite)?,O risco de burnout e o cansaço quando o jogo para de divertir o criador.
"No e-sports, Alanzoka conquistou o 3º lugar em qual competição nacional de Overwatch?",Overwatch Balance League #3.
Como a audiência descreve a sensação de assistir às streams de Alanzoka?,"Como uma conversa informal entre amigos, focada em autenticidade."
Qual câmera profissional é utilizada por Alanzoka como webcam em suas transmissões?,Panasonic Lumix GH4.
Qual é a velocidade da memória RAM DDR5 instalada no PC atual de Alanzoka?,8200 MHz.
A qual cidade brasileira o sucesso e a residência de Alanzoka estão vinculados?,São Paulo.
Qual jogo indie de RPG Maker foi um sucesso nos fins de semana do canal EDGE pela dublagem feita por Alan?,Mad Father.
Qual o principal efeito da mudança para o sistema de preços locais (local sub pricing) nas assinaturas da Twitch?,"Os ganhos por assinatura deixaram de ser fixos em dólares, tornando a receita dinâmica."
"No início do canal, quem era o amigo de Alan conhecido por comentar nos vídeos sem revelar o rosto?",Void.
Qual jogo da Telltale marcou o canal em 2013 pelas decisões emocionais e o choro de Alan no final?,The Walking Dead.
"Em outubro de 2025, qual era a posição de Alanzoka no ranking mundial de seguidores da Twitch?",16º lugar.
Qual é o volume total de visualizações históricas no canal principal do YouTube (@alanzoka)?,"Mais de 2,3 bilhões de visualizações."
Qual característica do processador Ryzen escolhido por Alan em 2025 melhora o desempenho em jogos através do cache extra?,A tecnologia 3D V-Cache (símbolo 3D).
Por que o ecossistema Alanzoka é considerado resiliente frente ao envelhecimento demográfico da internet?,Pela sua capacidade estratégica de diversificar ativos e manter a longevidade da marca pessoal.
"Qual é a frequência semanal de postagem de vídeos no YouTube de Alanzoka, segundo estatísticas de 2026?",Média de 10 vídeos por período de análise (frequência constante).
